Albuquerque,2405823
Anaheim,35460
Anchorage,2555353
Arlington,40120
Atlanta,50881764
Aurora,36850
Austin,6238942
Bakersfield,38420
Baltimore,12619720
Baton Rouge,22650
Boise City,22890
Boston,17810721
Buffalo,2324599
Chandler,25480
Charlotte,21790063
Chesapeake,24300
Chicago,37754813
Chula Vista,27140
Cincinnati,3288669
Cleveland,4120014
Colorado Springs,48420
Columbus,3620419
Corpus Christi,32820
Dallas,7882413
Denver,28642444
Detroit,16926948
Durham,27400
El Paso,1446332
Fort Wayne,26790
Fort Worth,89400
Fremont,23660
Fresno,52920
Garland,23240
Gilbert,24660
Glendale,25130
Greensboro,29050
Henderson,30920
Hialeah,23510
Honolulu,9732859
Houston,20161779
Indianapolis,4287756
Irvine,28670
Irving,24290
Jacksonville,2750431
Jersey City,26470
Kansas City,5545500
Laredo,26200
Las Vegas,23051083
Lexington-Fayette,32580
Lincoln,28790
Long Beach,1388975
Los Angeles,40178194
Louisville,1653222
Lubbock,26020
Madison,90529
Memphis,2039350
Mesa,49730
Miami,20917084
Milwaukee,3401595
Minneapolis,18248360
Nashville,6540789
New Orleans,5691532
New York,29335915
Newark,19975525
Norfolk,1618175
North Las Vegas,24770
Oakland,6094732
Oklahoma City,1850871
Omaha,2153136
Orlando,20406714
Philadelphia,14644264
Phoenix,21388856
Pittsburgh,4030996
Plano,29170
Portland,9109172
Raleigh,47670
Reno,1781791
Richmond,1796843
Riverside,33160
Sacramento,5062654
San Antonio,4275296
San Diego,10512833
San Francisco,25868423
San Jose,5406284
Santa Ana,5275888
Scottsdale,26020
Seattle,21977739
Spokane,1576550
St. Louis,7009639
St. Paul,30810
St. Petersburg,919439
Stockton,31210
Tampa,9320099
Toledo,27620
Tucson,1617290
Tulsa,1371176
Virginia Beach,45410
Washington DC,114984744
Wichita,796691
Winston-Salem,24550
